Name,Category,Value,
"Is Lifetime","Collection","False",
"Is Managed","Collection","False",
"Is Unsupported CLR","Collection","False",
"Is Graceful Exit","Collection","True",
"Is DHP Happened","Collection","False",
"Is Sampling","Collection","False",
"Is Allocation","Collection","False",
"Is Instrumentation","Collection","True",
"Is 64 Bit","Collection","False",
"ETL File Signature","ETW","00000000-0000-0000-0000-000000000000",
"Application ETL File","ETW","",
"Kernel ETL File","ETW","",
"I/O Buffers","General","258",
"Creation Time","General","2010-6-11 17:08:23",
"Size of Buffers","General","65536",
"Operating System Minor Version","Machine Information","1",
"Operating System Build Number","Machine Information","2600",
"CPU Architecture","Machine Information","Intel",
"Operating System Major Version","Machine Information","5",
"CPU Type","Machine Information","Intel",
"Machine Name","Machine Information","THU-EDWARDTODAY",
"Number of CPUs","Machine Information","4",
"CPU Family","Machine Information","6",
"CPU Stepping","Machine Information","10",
"Clock Frequency","Machine Information","2660",
"CPU Model","Machine Information","7",
"Counter 0","Performance Counters","TimeStamp Counter",
"Number of Processes","Process","0",
"Total Processes","Process","1",
"Process Highwater","Process","1",
"Maximum Processes","Process","64",
"Thread Highwater","Thread","5",
"Maximum Threads","Thread","256",
"Number of Threads","Thread","0",
"Total Threads","Thread","35",
"Minor File Version","Version Information","1",
"Minor Product Version","Version Information","0",
"Major File Version","Version Information","43",
"Version String","Version Information","9.0.30729 x86",
"Build Number","Version Information","30729",
"Major Product Version","Version Information","9",
